stage,plane,finite,mean_pair_distance,rms_radius,radius_ratio,radius_mean,radius_cv,expected_radius_cv,radius_q05_normalized,radius_q25_normalized,radius_q50_normalized,radius_q75_normalized,radius_q95_normalized,uniform_ball_radius,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_particle,vertex_particle_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,0,True,5.118042825098593,3.8341134214706187,1.0,3.61769142760671,0.35103458982608615,0.20412414523193154,0.3413165175660209,0.610241713492466,0.7443488518706998,0.9272496251853696,1.260586967004309,4.695810749279799,0.1985677866371744,0.21875,0.1484375,0.125,0.0625,0.08984375,0.0390625,0.046875,0.02734375,0.03125,0.015625,0.1953125,0.013295848995693381,0.041114961164580646,0.7526599137939597,,,,,,,1
initial,1,True,5.1172674816040065,3.833888027803394,1.0,3.615981040487636,0.35235768949260154,0.20412414523193154,0.33500167045694385,0.6063275737718823,0.7436635851896114,0.9282825891641141,1.2713065946047535,4.695534699541821,0.19901156021999816,0.22265625,0.14453125,0.125,0.07421875,0.06640625,0.0546875,0.0390625,0.03125,0.02734375,0.0234375,0.19140625,0.012764372869701366,0.04079894549393759,0.7563815956593156,,,,,,,1
initial,2,True,5.108190636891394,3.8260721433439713,1.0,3.611455067082346,0.3498357634823481,0.20412414523193154,0.3492096831243411,0.6018614477800103,0.7454691249275457,0.9325614428829688,1.2605373647395992,4.685962235134753,0.19766819350486992,0.23046875,0.1328125,0.1328125,0.06640625,0.078125,0.05078125,0.03515625,0.0390625,0.0234375,0.01953125,0.19140625,0.012618494594743707,0.03999060970071416,0.759454118300711,,,,,,,1
initial,3,True,5.115967058226597,3.8323877726665265,1.0,3.616654453575741,0.3505111306789926,0.20412414523193154,0.33758622409914474,0.5975760086787503,0.7453381453839854,0.9335893113244114,1.2563250998994708,4.6936972697571635,0.2039497252583477,0.21875,0.14453125,0.1328125,0.05078125,0.0859375,0.0546875,0.05078125,0.01953125,0.03125,0.015625,0.1953125,0.012353565826313724,0.04135837452591075,0.7511971605890656,,,,,,,1
initial,4,True,5.110331402887909,3.8280667021589623,1.0,3.6125031334607067,0.3505762962915228,0.20412414523193154,0.34394077144916946,0.5989421489335978,0.7388815979525504,0.931734454753377,1.2650150936898759,4.688405060814103,0.2080421074189429,0.21484375,0.15234375,0.140625,0.046875,0.0859375,0.05078125,0.04296875,0.01953125,0.0390625,0.0078125,0.19921875,0.0137244674695962,0.04185935923949223,0.75853518421931,,,,,,,1
initial,5,True,5.120630544440223,3.835780997043627,1.0,3.62012894295669,0.3502701164037494,0.20412414523193154,0.34263662196966027,0.6074469415456751,0.7435963268283945,0.9287306264957362,1.2723185128712209,4.697853103910498,0.19826691987267092,0.23046875,0.12109375,0.13671875,0.07421875,0.07421875,0.04296875,0.0546875,0.0234375,0.03125,0.0234375,0.1875,0.013324295115297483,0.04048215113169226,0.7533712793198439,,,,,,,1
initial,6,True,5.1066976873308265,3.8261214079097763,1.0,3.6088138423963296,0.35221799346433286,0.20412414523193154,0.34426203496754,0.6013891430922332,0.7473213110766643,0.9309258798266691,1.2609341937498646,4.686022571659064,0.20925639123136847,0.22265625,0.15234375,0.1171875,0.05078125,0.09375,0.05078125,0.05078125,0.01953125,0.03515625,0.01171875,0.1953125,0.012956604338571917,0.041225924795002186,0.7590709734818087,,,,,,,1
initial,7,True,5.109243821722472,3.8275520592717323,1.0,3.611092286211778,0.3513960774609166,0.20412414523193154,0.3356333414716562,0.5900088300953076,0.7377791278684538,0.9380445911811113,1.2590407767089553,4.68777475457737,0.20803312175487826,0.23046875,0.13671875,0.1328125,0.0546875,0.0859375,0.05859375,0.0390625,0.015625,0.03125,0.01953125,0.1953125,0.012432534123553501,0.040904516555275064,0.7559908785519708,,,,,,,1
terminal,0,True,1.1463076033754978,0.8457622469806335,0.220588739562178,0.8269770739168765,0.21435235699565097,0.20412414523193154,0.466085240397651,0.7173047908153045,0.8338959926264613,0.9241637371573707,1.023990008539858,1.0358429744061572,0.07421875,0.11328125,0.0859375,0.0859375,0.13671875,0.09765625,0.12890625,0.07421875,0.07421875,0.07421875,0.05078125,0.078125,0.0029086911177945247,0.016111911361565107,0.8680027074528558,,,,,,,1
terminal,1,True,1.1462640052002742,0.845739403235655,0.22059574956345737,0.8268663809893738,0.21487316876527027,0.20412414523193154,0.46722236014359814,0.7185901516707525,0.8342702593780938,0.9249006060765654,1.0247476216987765,1.0358149966466517,0.078125,0.12109375,0.07421875,0.09765625,0.125,0.11328125,0.109375,0.07421875,0.08984375,0.0703125,0.04296875,0.08203125,0.0025912605571660886,0.01667061113423601,0.8693374111897774,,,,,,,1
terminal,2,True,1.1459207108258465,0.8454679158298983,0.22097542444428736,0.826654620415936,0.21455685277405498,0.20412414523193154,0.4732266372321531,0.7175403222354111,0.8305026604963257,0.926672296361494,1.0230686141845646,1.0354824938388036,0.07421875,0.1171875,0.0859375,0.08203125,0.12109375,0.12890625,0.12109375,0.0625,0.0859375,0.06640625,0.05078125,0.078125,0.00227789690226192,0.016145457132488366,0.8717880951456208,,,,,,,1
terminal,3,True,1.146270319611471,0.8457460068740724,0.22068382873625889,0.826871107206095,0.2148833554643502,0.20412414523193154,0.46130321274205743,0.718088128543757,0.8310345053646224,0.9249877311624495,1.024614667657222,1.0358230844189358,0.067371003124989,0.11328125,0.0859375,0.0859375,0.13671875,0.11328125,0.1015625,0.078125,0.09375,0.0625,0.05859375,0.0703125,0.002801482220379578,0.016882267439206972,0.8668756136664638,,,,,,,1
terminal,4,True,1.1460944789397391,0.8456181632651514,0.2208995373012277,0.8267820160771246,0.21467185991120713,0.20412414523193154,0.46284557959669903,0.7129969424018885,0.8311442693031514,0.9282488029163094,1.0182129336900463,1.0356665086145695,0.078125,0.1171875,0.08203125,0.08984375,0.12890625,0.11328125,0.10546875,0.08203125,0.08203125,0.06640625,0.05078125,0.08203125,0.0027835370655292005,0.01634376148485738,0.8695589994636634,,,,,,,1
terminal,5,True,1.146323427567414,0.8458059584538352,0.22050423606189404,0.8269048233528817,0.21502989661784358,0.20412414523193154,0.4569276539756564,0.7133995074770296,0.8370379397724106,0.9270712095201177,1.0248643320048711,1.035896509808782,0.08203125,0.1171875,0.08203125,0.09375,0.125,0.1015625,0.12109375,0.078125,0.08984375,0.0625,0.04296875,0.0859375,0.0026783777311706536,0.01616828293167652,0.8704175445098508,,,,,,,1
terminal,6,True,1.146057955327761,0.8456117818322998,0.22101018020080562,0.8267164569419075,0.21502123924515965,0.20412414523193154,0.47920195945666477,0.7218502080670096,0.8333732031935257,0.9254897803343248,1.0254034244709456,1.0356586929874125,0.07421875,0.125,0.07421875,0.09765625,0.13671875,0.1015625,0.11328125,0.05859375,0.09765625,0.0625,0.0546875,0.078125,0.002646082931741628,0.015688885852298388,0.8721397454829312,,,,,,,1
terminal,7,True,1.1461796084059823,0.8456870759254013,0.22094724325873963,0.8268390650438683,0.2147327232466412,0.20412414523193154,0.47342061419312853,0.7137749025306226,0.8311917620196481,0.9262898050192337,1.0204400509230556,1.0357509090417845,0.07738513748210818,0.1171875,0.0859375,0.08984375,0.140625,0.09765625,0.125,0.06640625,0.08203125,0.0625,0.0546875,0.078125,0.0025653302530324177,0.016321302280323535,0.8706518040400285,,,,,,,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0,9.361731127e-04,4.465584114e-04,4.414028682e-04,4.072691505e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,1,9.222667265e-04,4.399250083e-04,4.414028682e-04,4.949988210e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,2,9.158271444e-04,4.368533012e-04,4.414028682e-04,4.412074385e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,3,9.217703445e-04,4.396882320e-04,4.414028682e-04,4.302837465e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,4,9.389813791e-04,4.478979661e-04,4.414028682e-04,4.394929955e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,5,9.125257855e-04,4.352785395e-04,4.414028682e-04,4.584443592e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,6,9.305876591e-04,4.438941272e-04,4.414028682e-04,5.819149071e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,7,9.244584855e-04,4.409704863e-04,4.414028682e-04,6.993267976e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,0,9.831831074e-04,4.689823716e-04,4.710204688e-04,5.507556326e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,1,9.890643741e-04,4.717877599e-04,4.710204688e-04,5.845119041e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,2,9.971905114e-04,4.756639607e-04,4.710204688e-04,4.690728899e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,3,9.883118745e-04,4.714288145e-04,4.710204688e-04,7.887250937e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,4,9.914754599e-04,4.729378577e-04,4.710204688e-04,4.650934076e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,5,1.000483288e-03,4.772346287e-04,4.710204688e-04,4.969614122e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,6,9.628524542e-04,4.592845667e-04,4.710204688e-04,4.288844360e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,7,9.866255368e-04,4.706244245e-04,4.710204688e-04,4.491961063e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,0,8.464524723e-04,4.037612983e-04,4.056194031e-04,3.998189258e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,1,8.408602904e-04,4.010938046e-04,4.056194031e-04,4.721105827e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,2,8.375126765e-04,3.994969791e-04,4.056194031e-04,4.721728877e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,3,8.544544235e-04,4.075782618e-04,4.056194031e-04,4.646512945e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,4,8.619160263e-04,4.111374769e-04,4.056194031e-04,6.359771472e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,5,8.630089615e-04,4.116588115e-04,4.056194031e-04,8.258197759e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,6,8.572264883e-04,4.089005481e-04,4.056194031e-04,3.938945230e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,7,8.409298015e-04,4.011269617e-04,4.056194031e-04,4.888173091e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9.292254091e-04,4.432443284e-04,4.440531458e-04,4.689930391e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9.450471643e-04,4.507913704e-04,4.440531458e-04,4.902613856e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,9.181561654e-04,4.379642538e-04,4.440531458e-04,4.595333502e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,9.399018586e-04,4.483370385e-04,4.440531458e-04,4.360236787e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,9.247970875e-04,4.411320008e-04,4.440531458e-04,4.029823634e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,9.463662774e-04,4.514205928e-04,4.440531458e-04,4.301785590e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,9.088968538e-04,4.335475242e-04,4.440531458e-04,6.935780904e-09,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,9.343228370e-04,4.456758224e-04,4.440531458e-04,6.204606795e-09,1
