target,target_source_id,method,parent_source_ids,lambda,lambda_fit_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,79,shared_lambda,423;431;57;239,0.207424554;0.294744760;0.220370020;0.277460666,2.228829321e-01,2.780840739e-01,4.373682785e-01,nan,nan,2.234859376e-01,3.519756237e-01,1.572791539e+00,4.013041127e-01,nan,3.236650617e-01,1.089867422e+00,2.234859376e-01,3.519756237e-01,2.161989725e-01,5.302015286e-01,2.228829321e-01,7.234811601e-13,2.483383013e-01,7.672694112e-01
1,127,shared_lambda,431;423;352;524,0.000000000;0.365737073;0.272883898;0.361379029,1.745455875e-01,3.574515719e-01,5.068812368e-01,nan,nan,3.216012917e-01,4.529126294e-01,1.418041706e+00,4.664985317e-01,nan,4.172142153e-01,1.086565557e+00,3.216012917e-01,4.529126294e-01,3.612198251e-01,7.492104731e-01,1.745455875e-01,7.367638235e-13,2.707782122e-01,6.490148282e-01
2,133,shared_lambda,302;508;204;407,0.427496858;0.383230033;0.000000000;0.189273109,2.382511935e-01,2.517009152e-01,2.943650949e-01,nan,nan,2.008918986e-01,2.347987590e-01,1.169503475e+00,3.407594620e-01,nan,2.730001950e-01,8.638500986e-01,2.065398856e-01,2.661241925e-01,1.518776418e-01,3.697489776e-01,2.382511935e-01,7.760729500e-13,2.452349423e-01,8.982958501e-01
3,139,shared_lambda,319;446;379;292,0.027192132;0.408203251;0.259642491;0.304962126,1.944518136e-01,7.567782820e-01,8.333488311e-01,nan,nan,8.460446526e-01,9.308813562e-01,1.101179633e+00,7.704593788e-01,nan,8.605143605e-01,1.081625916e+00,8.460446526e-01,9.406971910e-01,9.504722285e-01,1.316571332e+00,1.944518136e-01,6.402791482e-13,2.898296267e-01,3.368097501e-01
4,166,shared_lambda,170;18;255;99,0.426407818;0.130239240;0.294273468;0.149079475,9.581594930e-02,3.744057759e-01,4.444081617e-01,nan,nan,3.670845740e-01,4.338352477e-01,1.186969300e+00,2.086766655e-01,nan,2.033237587e-01,2.129649525e+00,3.699559921e-01,4.353975185e-01,4.447684920e-01,6.613826261e-01,9.581594930e-02,7.614939721e-13,2.360389347e-01,1.160901885e+00
5,192,shared_lambda,516;31;2;308,0.340602163;0.291547595;0.036047237;0.331803005,1.971675325e-01,4.496617654e-01,6.129880136e-01,nan,nan,3.930811242e-01,5.340962924e-01,1.363220226e+00,4.986349696e-01,nan,4.353483530e-01,1.229332179e+00,4.083977941e-01,5.527650949e-01,3.585503037e-01,7.634684806e-01,1.971675325e-01,7.230188206e-13,2.582821160e-01,5.932768880e-01
6,210,shared_lambda,281;398;377;240,0.541673745;0.256390738;0.040459390;0.161476127,1.784191888e-01,4.895073064e-01,5.967335605e-01,nan,nan,5.398181914e-01,6.594203824e-01,1.219049343e+00,5.517038058e-01,nan,6.077774624e-01,1.081619438e+00,5.398181914e-01,6.594203824e-01,7.801213690e-01,1.183166894e+00,1.784191888e-01,7.257194465e-13,2.461076455e-01,4.049305227e-01
7,211,shared_lambda,157;481;439;8,0.362303130;0.271913894;0.152292300;0.213490677,2.166255114e-01,3.042473746e-01,3.830608061e-01,nan,nan,2.172733693e-01,2.730676241e-01,1.259043916e+00,4.268069299e-01,nan,3.048228662e-01,8.975037171e-01,2.380586364e-01,2.824524806e-01,1.222128641e-01,3.331896393e-01,2.166255114e-01,7.644934621e-13,2.657087997e-01,8.716826365e-01
8,267,shared_lambda,302;27;95;247,0.470692612;0.282744417;0.246562972;0.000000000,2.331477162e-01,3.687906440e-01,4.184422410e-01,nan,nan,3.246879718e-01,3.675067317e-01,1.134633559e+00,4.364223732e-01,nan,3.846260467e-01,9.588010759e-01,3.318908872e-01,3.675672437e-01,3.472480021e-01,5.555582561e-01,2.331477162e-01,7.655719963e-13,2.076559267e-01,5.398904428e-01
9,353,shared_lambda,243;1;98;364,0.345021084;0.110276973;0.252094425;0.292607518,1.836765189e-01,4.876186434e-01,4.913340537e-01,nan,nan,4.872155932e-01,4.917115048e-01,1.007619500e+00,4.495703765e-01,nan,4.511001198e-01,1.092896862e+00,4.872155932e-01,4.917115048e-01,5.229736336e-01,7.330489136e-01,1.836765189e-01,7.714900068e-13,2.028527864e-01,4.496846211e-01
10,365,shared_lambda,191;15;207;298,0.427672339;0.359315382;0.213012279;0.000000000,1.868401245e-01,3.711724699e-01,5.522880128e-01,nan,nan,3.761655541e-01,5.575740066e-01,1.487955217e+00,4.880345521e-01,nan,4.902464190e-01,1.131657606e+00,3.761655541e-01,5.603017919e-01,3.681096348e-01,8.976649505e-01,1.868401245e-01,6.721868831e-13,2.175877921e-01,4.438335165e-01
11,368,shared_lambda,159;59;345;203,0.498161785;0.385912372;0.000000000;0.115925842,2.633462719e-01,2.721270452e-01,2.630246962e-01,nan,nan,2.071816953e-01,1.990577949e-01,9.665511046e-01,2.934065509e-01,nan,2.222642865e-01,8.964513415e-01,2.420103565e-01,2.145501719e-01,1.136788045e-01,2.574020063e-01,2.633462719e-01,7.816828287e-13,1.158847572e-01,5.213827153e-01
12,394,shared_lambda,458;491;457;196,0.245269977;0.325329093;0.212501486;0.216899444,2.536602205e-01,4.856144501e-01,4.237607215e-01,nan,nan,3.452326165e-01,3.021023569e-01,8.726279077e-01,4.907444824e-01,nan,3.500332810e-01,8.635058299e-01,3.494264365e-01,3.023593288e-01,3.910189237e-01,2.552329124e-01,2.536602205e-01,6.394651363e-13,2.842410657e-01,8.120401150e-01
13,433,shared_lambda,253;355;410;462,0.392128857;0.232486749;0.284033731;0.091350662,2.243280902e-01,3.132566004e-01,4.025814478e-01,nan,nan,3.995620042e-01,5.143587583e-01,1.285149131e+00,3.638502170e-01,nan,4.666903929e-01,1.106448283e+00,4.162793699e-01,5.312522208e-01,4.329227554e-01,1.011498375e+00,2.243280902e-01,7.756522165e-13,2.515021119e-01,5.389056979e-01
14,454,shared_lambda,331;246;213;43,0.483588735;0.301301015;0.000000000;0.215110250,3.015723026e-01,5.253822695e-01,5.448082265e-01,nan,nan,3.949510057e-01,4.094078980e-01,1.036974900e+00,5.645195499e-01,nan,4.242818040e-01,9.650830102e-01,3.949510057e-01,4.094078980e-01,2.987126878e-01,3.812053674e-01,3.015723026e-01,7.558535064e-13,2.136486016e-01,5.035535335e-01
15,470,shared_lambda,406;461;333;80,0.326556995;0.188532094;0.262954161;0.221956749,2.179744754e-01,1.819167100e-01,3.213596805e-01,nan,nan,1.643457281e-01,2.909762276e-01,1.766520956e+00,2.495311332e-01,nan,2.267088213e-01,1.287854050e+00,1.643457281e-01,2.909762276e-01,1.357583740e-01,5.188070192e-01,2.179744754e-01,7.761816719e-13,2.309030148e-01,1.018500354e+00
